ID_Ordine,Codice_Articolo,Lotto,Quantita_Da_Produrre,Materiale_Richiesto,Descrizione_Materiale,Macchina_Assegnata_Default,Data_Scadenza_Cliente,Priorita_Commerciale
ODP-001,ART-013,L-2026-5033,1,MAT-AISI316-40,TONDO AISI316 Ø40,TORNO-05,2026-06-15,ALTA
ODP-002,ART-020,L-2026-7868,50,MAT-Alluminio-80,TONDO Alluminio Ø80,TORNO-05,2026-06-16,BASSA
ODP-003,ART-017,L-2026-5272,5,MAT-Bronzo-60,TONDO Bronzo Ø60,TORNO-06,2026-06-17,BASSA
ODP-004,ART-011,L-2026-5351,91,MAT-AISI304-100,TONDO AISI304 Ø100,TORNO-02,2026-06-18,BASSA
ODP-005,ART-021,L-2026-8491,106,MAT-Bronzo-50,TONDO Bronzo Ø50,TORNO-01,2026-06-19,MEDIA
ODP-006,ART-015,L-2026-6113,38,MAT-C45-60,TONDO C45 Ø60,TORNO-05,2026-06-20,ALTA
ODP-007,ART-015,L-2026-6813,10,MAT-C45-60,TONDO C45 Ø60,TORNO-05,2026-06-21,BASSA
ODP-008,ART-002,L-2026-7853,27,MAT-C45-30,TONDO C45 Ø30,TORNO-01,2026-06-22,BASSA
ODP-009,ART-002,L-2026-2917,61,MAT-C45-30,TONDO C45 Ø30,TORNO-01,2026-06-23,MEDIA
ODP-010,ART-015,L-2026-3047,56,MAT-C45-60,TONDO C45 Ø60,TORNO-05,2026-06-24,ALTA
ODP-011,ART-005,L-2026-2591,142,MAT-Alluminio-30,TONDO Alluminio Ø30,TORNO-01,2026-06-25,MEDIA
ODP-012,ART-014,L-2026-4740,70,MAT-C45-50,TONDO C45 Ø50,TORNO-03,2026-06-26,MEDIA
ODP-013,ART-021,L-2026-8973,81,MAT-Bronzo-50,TONDO Bronzo Ø50,TORNO-01,2026-06-27,MEDIA
ODP-014,ART-005,L-2026-5807,185,MAT-Alluminio-30,TONDO Alluminio Ø30,TORNO-01,2026-06-28,ALTA
ODP-015,ART-002,L-2026-8777,63,MAT-C45-30,TONDO C45 Ø30,TORNO-01,2026-06-29,BASSA
ODP-016,ART-018,L-2026-8809,170,MAT-C45-100,TONDO C45 Ø100,TORNO-02,2026-06-30,ALTA
ODP-017,ART-017,L-2026-1793,6,MAT-Bronzo-60,TONDO Bronzo Ø60,TORNO-06,2026-07-01,BASSA
ODP-018,ART-001,L-2026-6415,22,MAT-Bronzo-20,TONDO Bronzo Ø20,TORNO-02,2026-07-02,ALTA
ODP-019,ART-001,L-2026-7241,155,MAT-Bronzo-20,TONDO Bronzo Ø20,TORNO-02,2026-07-03,BASSA
ODP-020,ART-020,L-2026-6284,54,MAT-Alluminio-80,TONDO Alluminio Ø80,TORNO-05,2026-07-04,MEDIA
ODP-021,ART-011,L-2026-1469,112,MAT-AISI304-100,TONDO AISI304 Ø100,TORNO-02,2026-07-05,BASSA
ODP-022,ART-007,L-2026-7913,5,MAT-Bronzo-50,TONDO Bronzo Ø50,TORNO-02,2026-07-06,ALTA
ODP-023,ART-001,L-2026-8968,20,MAT-Bronzo-20,TONDO Bronzo Ø20,TORNO-02,2026-07-07,ALTA
ODP-024,ART-017,L-2026-3849,150,MAT-Bronzo-60,TONDO Bronzo Ø60,TORNO-06,2026-07-08,ALTA
ODP-025,ART-020,L-2026-6547,15,MAT-Alluminio-80,TONDO Alluminio Ø80,TORNO-05,2026-07-09,ALTA
ODP-026,ART-013,L-2026-4767,11,MAT-AISI316-40,TONDO AISI316 Ø40,TORNO-05,2026-07-10,BASSA
ODP-027,ART-012,L-2026-5915,27,MAT-AISI316-30,TONDO AISI316 Ø30,TORNO-05,2026-07-11,ALTA
ODP-028,ART-003,L-2026-4556,183,MAT-Alluminio-50,TONDO Alluminio Ø50,TORNO-06,2026-07-12,MEDIA
ODP-029,ART-015,L-2026-6085,16,MAT-C45-60,TONDO C45 Ø60,TORNO-05,2026-07-13,ALTA
ODP-030,ART-021,L-2026-5470,22,MAT-Bronzo-50,TONDO Bronzo Ø50,TORNO-01,2026-07-14,BASSA
ODP-031,ART-020,L-2026-5120,41,MAT-Alluminio-80,TONDO Alluminio Ø80,TORNO-05,2026-07-15,ALTA
ODP-032,ART-006,L-2026-1772,130,MAT-Alluminio-40,TONDO Alluminio Ø40,TORNO-05,2026-07-16,ALTA
ODP-033,ART-013,L-2026-3837,130,MAT-AISI316-40,TONDO AISI316 Ø40,TORNO-05,2026-07-17,BASSA
ODP-034,ART-018,L-2026-9653,49,MAT-C45-100,TONDO C45 Ø100,TORNO-02,2026-07-18,BASSA
ODP-035,ART-021,L-2026-9937,21,MAT-Bronzo-50,TONDO Bronzo Ø50,TORNO-01,2026-07-19,ALTA
ODP-036,ART-011,L-2026-9464,136,MAT-AISI304-100,TONDO AISI304 Ø100,TORNO-02,2026-07-20,BASSA
ODP-037,ART-017,L-2026-7288,58,MAT-Bronzo-60,TONDO Bronzo Ø60,TORNO-06,2026-07-21,BASSA
ODP-038,ART-007,L-2026-7640,111,MAT-Bronzo-50,TONDO Bronzo Ø50,TORNO-02,2026-07-22,ALTA
ODP-039,ART-018,L-2026-4444,198,MAT-C45-100,TONDO C45 Ø100,TORNO-02,2026-07-23,ALTA
ODP-040,ART-014,L-2026-6644,142,MAT-C45-50,TONDO C45 Ø50,TORNO-03,2026-07-24,ALTA
ODP-041,ART-006,L-2026-2575,178,MAT-Alluminio-40,TONDO Alluminio Ø40,TORNO-05,2026-07-25,BASSA
ODP-042,ART-020,L-2026-2358,6,MAT-Alluminio-80,TONDO Alluminio Ø80,TORNO-05,2026-07-26,ALTA
ODP-043,ART-011,L-2026-1033,48,MAT-AISI304-100,TONDO AISI304 Ø100,TORNO-02,2026-07-27,MEDIA
ODP-044,ART-017,L-2026-4074,48,MAT-Bronzo-60,TONDO Bronzo Ø60,TORNO-06,2026-07-28,BASSA
ODP-045,ART-006,L-2026-5591,150,MAT-Alluminio-40,TONDO Alluminio Ø40,TORNO-05,2026-07-29,BASSA
ODP-046,ART-006,L-2026-8964,25,MAT-Alluminio-40,TONDO Alluminio Ø40,TORNO-05,2026-07-30,BASSA
ODP-047,ART-017,L-2026-4766,134,MAT-Bronzo-60,TONDO Bronzo Ø60,TORNO-06,2026-07-31,BASSA
