Codice_Materiale,Descrizione_Materiale,Giacenza_Attuale,Qta_In_Arrivo,Data_Consegna_Fornitore,Data_Previsione_AI_Ritardo,Stato_Disponibilita
MAT-Bronzo-20,TONDO Bronzo Ø20,1893,0,,,DISPONIBILE
MAT-C45-30,TONDO C45 Ø30,1896,0,,,DISPONIBILE
MAT-Alluminio-50,TONDO Alluminio Ø50,20,1348,2026-06-16,2026-06-23,IN_RITARDO
MAT-C20-30,TONDO C20 Ø30,0,0,,,ESAURITO
MAT-Alluminio-30,TONDO Alluminio Ø30,29,1006,2026-06-18,2026-06-18,IN_TEMPO
MAT-Alluminio-40,TONDO Alluminio Ø40,16,1780,2026-06-16,2026-06-25,IN_RITARDO
MAT-Bronzo-50,TONDO Bronzo Ø50,1780,0,,,DISPONIBILE
MAT-AISI304-20,TONDO AISI304 Ø20,20,1519,2026-06-16,2026-06-22,IN_RITARDO
MAT-C20-40,TONDO C20 Ø40,5,1552,2026-06-16,2026-06-25,IN_RITARDO
MAT-Alluminio-20,TONDO Alluminio Ø20,15,1019,2026-06-16,2026-06-23,IN_RITARDO
MAT-AISI304-100,TONDO AISI304 Ø100,7,1059,2026-06-16,2026-06-25,IN_RITARDO
MAT-Bronzo-30,TONDO Bronzo Ø30,675,0,,,DISPONIBILE
MAT-AISI316-40,TONDO AISI316 Ø40,0,0,,,ESAURITO
MAT-AISI304-40,TONDO AISI304 Ø40,1590,0,,,DISPONIBILE
MAT-Alluminio-80,TONDO Alluminio Ø80,8,2351,2026-06-17,2026-06-17,IN_TEMPO
MAT-C45-50,TONDO C45 Ø50,16,2080,2026-06-18,2026-06-18,IN_TEMPO
MAT-Bronzo-60,TONDO Bronzo Ø60,0,0,,,ESAURITO
MAT-C45-100,TONDO C45 Ø100,34,2546,2026-06-18,2026-06-18,IN_TEMPO
MAT-C45-80,TONDO C45 Ø80,45,1638,2026-06-17,2026-06-17,IN_TEMPO
MAT-AISI316-50,TONDO AISI316 Ø50,14,1921,2026-06-17,2026-06-22,IN_RITARDO
