Codice_Articolo,Materiale_Richiesto,Descrizione_Materiale,Ciclo_Fasi,Tempo_Setup_Standard_Min,Tempo_Tornitura_Cad_Min,Tempo_Taglio_Cad_Min,Tempo_Fresa_Cad_Min
ART-001,MAT-Bronzo-20,TONDO Bronzo Ø20,TORNIO,90,11,0,0
ART-002,MAT-C45-30,TONDO C45 Ø30,"TAGLIO,TORNIO",90,6,1,0
ART-003,MAT-Alluminio-50,TONDO Alluminio Ø50,TORNIO,90,3,0,0
ART-004,MAT-C20-30,TONDO C20 Ø30,"TAGLIO,TORNIO",90,19,1,0
ART-005,MAT-Alluminio-30,TONDO Alluminio Ø30,"TORNIO,FRESA",90,10,0,12
ART-006,MAT-Alluminio-40,TONDO Alluminio Ø40,TORNIO,90,8,0,0
ART-007,MAT-Bronzo-50,TONDO Bronzo Ø50,"TAGLIO,TORNIO,FRESA",90,11,2,8
ART-008,MAT-AISI304-20,TONDO AISI304 Ø20,TORNIO,90,15,0,0
ART-009,MAT-C20-40,TONDO C20 Ø40,"TAGLIO,TORNIO,FRESA",90,11,1,12
ART-010,MAT-Alluminio-20,TONDO Alluminio Ø20,"TORNIO,FRESA",90,5,0,13
ART-011,MAT-AISI304-100,TONDO AISI304 Ø100,"TAGLIO,TORNIO,FRESA",90,9,1,5
ART-012,MAT-Bronzo-30,TONDO Bronzo Ø30,"TAGLIO,TORNIO,FRESA",90,5,2,6
ART-013,MAT-AISI316-40,TONDO AISI316 Ø40,"TORNIO,FRESA",90,14,0,7
ART-014,MAT-AISI304-40,TONDO AISI304 Ø40,"TAGLIO,TORNIO",90,11,1,0
ART-015,MAT-Alluminio-80,TONDO Alluminio Ø80,"TAGLIO,TORNIO",90,20,2,0
ART-016,MAT-C45-50,TONDO C45 Ø50,"TORNIO,FRESA",90,11,0,15
ART-017,MAT-Bronzo-60,TONDO Bronzo Ø60,"TAGLIO,TORNIO",90,13,1,0
ART-018,MAT-C45-100,TONDO C45 Ø100,TORNIO,90,13,0,0
ART-019,MAT-AISI316-40,TONDO AISI316 Ø40,TORNIO,90,9,0,0
ART-020,MAT-Alluminio-80,TONDO Alluminio Ø80,"TAGLIO,TORNIO,FRESA",90,9,4,11
ART-021,MAT-Bronzo-50,TONDO Bronzo Ø50,"TAGLIO,TORNIO",90,11,2,0
ART-022,MAT-C45-80,TONDO C45 Ø80,"TAGLIO,TORNIO,FRESA",90,16,4,10
ART-023,MAT-C45-30,TONDO C45 Ø30,"TORNIO,FRESA",90,5,0,5
ART-024,MAT-C20-30,TONDO C20 Ø30,"TAGLIO,TORNIO",90,16,1,0
ART-025,MAT-AISI316-50,TONDO AISI316 Ø50,"TORNIO,FRESA",90,19,0,9
