codice_articolo,codice_materiale,descrizione_materiale,materiale_esistente,materiale_ordinato,data_consegna_materiale_ordinato
ART-1001,MAT-TONDO-AL-50,Tondo Alluminio Ø50mm,20,200,2026-06-22
ART-1002,MAT-TONDO-AL-30,Tondo Alluminio Ø30mm,150,0,
ART-1003,MAT-TONDO-FE-60,Tondo Ferro Ø60mm,5,150,2026-06-24
ART-1004,MAT-TONDO-FE-40,Tondo Ferro Ø40mm,0,300,2026-06-25
ART-1005,MAT-TONDO-FE-40,Tondo Ferro Ø40mm,0,300,2026-06-25
ART-1006,MAT-TONDO-FE-20,Tondo Ferro Ø20mm,80,0,
ART-1007,MAT-TONDO-AL-50,Tondo Alluminio Ø50mm,20,200,2026-06-22
ART-1008,MAT-TONDO-OT-20,Tondo Ottone Ø20mm,110,0,
ART-1009,MAT-TONDO-AL-50,Tondo Alluminio Ø50mm,20,200,2026-06-22
ART-1010,MAT-TONDO-AL-40,Tondo Alluminio Ø40mm,0,150,2026-06-24
ART-1011,MAT-TONDO-INOX-45,Tondo Inox Ø45mm,0,100,2026-06-29
ART-1012,MAT-TONDO-AL-30,Tondo Alluminio Ø30mm,150,0,
ART-1013,MAT-TONDO-AL-30,Tondo Alluminio Ø30mm,150,0,
ART-1014,MAT-TONDO-AL-50,Tondo Alluminio Ø50mm,20,200,2026-06-22
ART-1015,MAT-TONDO-FE-40,Tondo Ferro Ø40mm,0,300,2026-06-25
ART-1016,MAT-TONDO-FE-40,Tondo Ferro Ø40mm,0,300,2026-06-25
ART-1017,MAT-TONDO-OT-20,Tondo Ottone Ø20mm,110,0,
ART-1018,MAT-TONDO-AL-40,Tondo Alluminio Ø40mm,0,150,2026-06-24
ART-1019,MAT-TONDO-AL-30,Tondo Alluminio Ø30mm,150,0,
ART-1020,MAT-TONDO-OT-20,Tondo Ottone Ø20mm,110,0,
ART-1021,MAT-TONDO-FE-40,Tondo Ferro Ø40mm,0,300,2026-06-25
ART-1022,MAT-TONDO-OT-20,Tondo Ottone Ø20mm,110,0,
ART-1023,MAT-TONDO-INOX-45,Tondo Inox Ø45mm,0,100,2026-06-29
ART-1024,MAT-TONDO-FE-40,Tondo Ferro Ø40mm,0,300,2026-06-25
ART-1025,MAT-TONDO-BR-30,Tondo Bronzo Ø30mm,45,50,2026-06-23
ART-1026,MAT-TONDO-AL-40,Tondo Alluminio Ø40mm,0,150,2026-06-24
ART-1027,MAT-TONDO-FE-60,Tondo Ferro Ø60mm,5,150,2026-06-24
ART-1028,MAT-TONDO-AL-30,Tondo Alluminio Ø30mm,150,0,
ART-1029,MAT-TONDO-FE-20,Tondo Ferro Ø20mm,80,0,
ART-1030,MAT-TONDO-INOX-45,Tondo Inox Ø45mm,0,100,2026-06-29
ART-1031,MAT-TONDO-INOX-25,Tondo Inox Ø25mm,90,0,
ART-1032,MAT-TONDO-FE-60,Tondo Ferro Ø60mm,5,150,2026-06-24
ART-1033,MAT-TONDO-FE-20,Tondo Ferro Ø20mm,80,0,
ART-1034,MAT-TONDO-FE-40,Tondo Ferro Ø40mm,0,300,2026-06-25
ART-1035,MAT-TONDO-INOX-25,Tondo Inox Ø25mm,90,0,
ART-1036,MAT-TONDO-AL-50,Tondo Alluminio Ø50mm,20,200,2026-06-22
ART-1037,MAT-TONDO-AL-50,Tondo Alluminio Ø50mm,20,200,2026-06-22
ART-1038,MAT-TONDO-INOX-45,Tondo Inox Ø45mm,0,100,2026-06-29
ART-1039,MAT-TONDO-AL-50,Tondo Alluminio Ø50mm,20,200,2026-06-22
ART-1040,MAT-TONDO-INOX-25,Tondo Inox Ø25mm,90,0,
