codice_articolo,numero_commessa,data_consegna,fase_numero,centro_lavoro,tipologia_lavorazione,tempo_attrezzatura_min,tempo_esecuzione_min
ART-1023,CMD-1001,2026-07-01,1,Taglio_01,Taglio,45,30
ART-1023,CMD-1001,2026-07-01,2,Tornio_04,Tornitura,60,60
ART-1023,CMD-1001,2026-07-01,3,Fresa_01,Fresatura,60,240
ART-1024,CMD-1002,2026-06-29,1,Taglio_01,Taglio,30,30
ART-1024,CMD-1002,2026-06-29,2,Tornio_01,Tornitura,20,240
ART-1024,CMD-1002,2026-06-29,3,Fresa_01,Fresatura,15,90
ART-1018,CMD-1003,2026-07-04,1,Tornio_03,Tornitura,30,180
ART-1018,CMD-1003,2026-07-04,2,Fresa_01,Fresatura,15,120
ART-1011,CMD-1004,2026-06-30,1,Taglio_01,Taglio,30,180
ART-1011,CMD-1004,2026-06-30,2,Tornio_04,Tornitura,60,45
ART-1011,CMD-1004,2026-06-30,3,Fresa_02,Fresatura,30,240
ART-1004,CMD-1005,2026-06-24,1,Tornio_03,Tornitura,45,60
ART-1005,CMD-1006,2026-07-03,1,Tornio_02,Tornitura,45,90
ART-1030,CMD-1007,2026-07-01,1,Tornio_02,Tornitura,20,180
ART-1036,CMD-1008,2026-07-01,1,Taglio_02,Taglio,30,45
ART-1036,CMD-1008,2026-07-01,2,Tornio_05,Tornitura,20,120
ART-1036,CMD-1008,2026-07-01,3,Fresa_02,Fresatura,45,30
ART-1004,CMD-1009,2026-06-27,1,Tornio_02,Tornitura,45,120
ART-1005,CMD-1010,2026-07-05,1,Taglio_02,Taglio,30,120
ART-1005,CMD-1010,2026-07-05,2,Tornio_05,Tornitura,15,180
ART-1008,CMD-1011,2026-07-01,1,Taglio_02,Taglio,45,45
ART-1008,CMD-1011,2026-07-01,2,Tornio_01,Tornitura,45,30
ART-1008,CMD-1011,2026-07-01,3,Fresa_02,Fresatura,30,120
ART-1012,CMD-1012,2026-06-26,1,Taglio_02,Taglio,20,60
ART-1012,CMD-1012,2026-06-26,2,Tornio_05,Tornitura,20,120
ART-1012,CMD-1012,2026-06-26,3,Fresa_01,Fresatura,60,30
ART-1039,CMD-1013,2026-07-08,1,Tornio_03,Tornitura,20,30
ART-1039,CMD-1013,2026-07-08,2,Fresa_02,Fresatura,20,120
ART-1006,CMD-1014,2026-07-08,1,Tornio_01,Tornitura,60,240
ART-1009,CMD-1015,2026-07-08,1,Tornio_05,Tornitura,20,60
ART-1034,CMD-1016,2026-07-06,1,Taglio_01,Taglio,30,90
ART-1034,CMD-1016,2026-07-06,2,Tornio_05,Tornitura,30,90
ART-1034,CMD-1016,2026-07-06,3,Fresa_01,Fresatura,60,90
ART-1008,CMD-1017,2026-06-30,1,Tornio_01,Tornitura,30,30
ART-1038,CMD-1018,2026-06-30,1,Taglio_01,Taglio,15,45
ART-1038,CMD-1018,2026-06-30,2,Tornio_01,Tornitura,15,30
ART-1038,CMD-1018,2026-06-30,3,Fresa_01,Fresatura,30,30
ART-1033,CMD-1019,2026-07-01,1,Tornio_04,Tornitura,20,120
ART-1009,CMD-1020,2026-07-08,1,Taglio_01,Taglio,20,30
ART-1009,CMD-1020,2026-07-08,2,Tornio_04,Tornitura,15,180
ART-1009,CMD-1020,2026-07-08,3,Fresa_02,Fresatura,45,60
ART-1028,CMD-1021,2026-07-07,1,Taglio_01,Taglio,15,90
ART-1028,CMD-1021,2026-07-07,2,Tornio_01,Tornitura,30,240
ART-1007,CMD-1022,2026-06-29,1,Tornio_02,Tornitura,60,90
ART-1009,CMD-1023,2026-06-28,1,Tornio_02,Tornitura,45,240
ART-1009,CMD-1023,2026-06-28,2,Fresa_01,Fresatura,60,30
ART-1004,CMD-1024,2026-06-23,1,Taglio_01,Taglio,45,90
ART-1004,CMD-1024,2026-06-23,2,Tornio_02,Tornitura,45,45
ART-1004,CMD-1024,2026-06-23,3,Fresa_01,Fresatura,45,30
ART-1011,CMD-1025,2026-06-23,1,Taglio_02,Taglio,30,90
ART-1011,CMD-1025,2026-06-23,2,Tornio_04,Tornitura,60,180
